{'minPoints': 10, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.261905 0.161765 0.687500
{'minPoints': 10, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.252874 0.154930 0.687500
{'minPoints': 10, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.222222 0.172414 0.312500
{'minPoints': 10, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.177778 0.137931 0.250000
{'minPoints': 10, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.166667 0.125000 0.250000
{'minPoints': 12, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.155340 0.084211 1.000000
{'minPoints': 12, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.153846 0.083333 1.000000
{'minPoints': 12, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.150235 0.081218 1.000000
{'minPoints': 12, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.240000 0.152542 0.562500
{'minPoints': 12, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.253165 0.158730 0.625000
{'minPoints': 12, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.253165 0.158730 0.625000
{'minPoints': 12, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.162162 0.142857 0.187500
{'minPoints': 12, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.162162 0.142857 0.187500
{'minPoints': 12, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.162162 0.142857 0.187500
{'minPoints': 14, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.160000 0.086957 1.000000
{'minPoints': 14, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.161616 0.087912 1.000000
{'minPoints': 14, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.151659 0.082051 1.000000
{'minPoints': 14, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.276923 0.183673 0.562500
{'minPoints': 14, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.272727 0.180000 0.562500
{'minPoints': 14, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.272727 0.180000 0.562500
{'minPoints': 14, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.166667 0.150000 0.187500
{'minPoints': 14, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.171429 0.157895 0.187500
{'minPoints': 14, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.181818 0.176471 0.187500
{'minPoints': 16, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.186047 0.102564 1.000000
{'minPoints': 16, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.190476 0.105263 1.000000
{'minPoints': 16, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.189349 0.104575 1.000000
{'minPoints': 16, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.269231 0.194444 0.437500
{'minPoints': 16, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.250000 0.187500 0.375000
{'minPoints': 16, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.230769 0.166667 0.375000
{'minPoints': 16, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.187500 0.187500 0.187500
{'minPoints': 16, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.193548 0.200000 0.187500
{'minPoints': 16, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.200000 0.214286 0.187500
{'minPoints': 18, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.231884 0.131148 1.000000
{'minPoints': 18, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.235294 0.133333 1.000000
{'minPoints': 18, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.233577 0.132231 1.000000
{'minPoints': 18, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.222222 0.172414 0.312500
{'minPoints': 18, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.244898 0.181818 0.375000
{'minPoints': 18, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.222222 0.172414 0.312500
{'minPoints': 18, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.200000 0.214286 0.187500
{'minPoints': 18, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.214286 0.250000 0.187500
{'minPoints': 18, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.200000 0.214286 0.187500
{'minPoints': 20, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.264463 0.152381 1.000000
{'minPoints': 20, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.278261 0.161616 1.000000
{'minPoints': 20, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.262295 0.150943 1.000000
{'minPoints': 20, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.242424 0.235294 0.250000
{'minPoints': 20, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.228571 0.210526 0.250000
{'minPoints': 20, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.210526 0.181818 0.250000
{'minPoints': 20, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.260870 0.428571 0.187500
{'minPoints': 20, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.250000 0.375000 0.187500
{'minPoints': 20, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.173913 0.285714 0.125000
{'minPoints': 22, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.289157 0.179104 0.750000
{'minPoints': 22, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.275000 0.171875 0.687500
{'minPoints': 22, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.247191 0.150685 0.687500
{'minPoints': 22, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.214286 0.250000 0.187500
{'minPoints': 22, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.206897 0.230769 0.187500
{'minPoints': 22, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.206897 0.230769 0.187500
{'minPoints': 22, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.190476 0.400000 0.125000
{'minPoints': 22, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.190476 0.400000 0.125000
{'minPoints': 22, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.181818 0.333333 0.125000
{'minPoints': 24, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.250000 0.187500 0.375000
{'minPoints': 24, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.274510 0.200000 0.437500
