{'minPoints': 6, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.372760 0.233708 0.920354
{'minPoints': 6, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.363636 0.226164 0.927273
{'minPoints': 6, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.376554 0.234513 0.954955
{'minPoints': 6, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.598837 0.440171 0.936364
{'minPoints': 6, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.601156 0.442553 0.936937
{'minPoints': 6, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.600583 0.443966 0.927928
{'minPoints': 6, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.641304 0.556604 0.756410
{'minPoints': 6, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.637363 0.552381 0.753247
{'minPoints': 6, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.633880 0.547170 0.753247
{'minPoints': 8, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.382892 0.242268 0.912621
{'minPoints': 8, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.402414 0.255754 0.943396
{'minPoints': 8, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.407045 0.259352 0.945455
{'minPoints': 8, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.606061 0.459770 0.888889
{'minPoints': 8, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.621160 0.473958 0.900990
{'minPoints': 8, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.619718 0.470588 0.907216
{'minPoints': 8, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.662338 0.629630 0.698630
{'minPoints': 8, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.649351 0.609756 0.694444
{'minPoints': 8, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.658065 0.614458 0.708333
{'minPoints': 10, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.433790 0.282738 0.931373
{'minPoints': 10, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.443418 0.290909 0.932039
{'minPoints': 10, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.440909 0.288690 0.932692
{'minPoints': 10, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.635983 0.500000 0.873563
{'minPoints': 10, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.644898 0.509677 0.877778
{'minPoints': 10, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.639004 0.503268 0.875000
{'minPoints': 10, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.646154 0.656250 0.636364
{'minPoints': 10, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.651163 0.666667 0.636364
{'minPoints': 10, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.641221 0.646154 0.636364
{'minPoints': 12, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.463415 0.309446 0.922330
{'minPoints': 12, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.479616 0.322581 0.934579
{'minPoints': 12, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.483092 0.324675 0.943396
{'minPoints': 12, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.648402 0.522059 0.855422
{'minPoints': 12, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.645455 0.518248 0.855422
{'minPoints': 12, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.660550 0.533333 0.867470
{'minPoints': 12, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.596491 0.693878 0.523077
{'minPoints': 12, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.586207 0.666667 0.523077
{'minPoints': 12, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.627119 0.711538 0.560606
{'minPoints': 14, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.502538 0.342561 0.942857
{'minPoints': 14, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.503778 0.342466 0.952381
{'minPoints': 14, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.516624 0.354386 0.952830
{'minPoints': 14, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.673575 0.575221 0.812500
{'minPoints': 14, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.676923 0.568966 0.835443
{'minPoints': 14, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.680000 0.571429 0.839506
{'minPoints': 14, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.584906 0.720930 0.492063
{'minPoints': 14, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.598131 0.744186 0.500000
{'minPoints': 14, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.590476 0.738095 0.492063
{'minPoints': 16, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.544974 0.378676 0.971698
{'minPoints': 16, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.549333 0.382900 0.971698
{'minPoints': 16, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.546917 0.382022 0.962264
{'minPoints': 16, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.666667 0.600000 0.750000
{'minPoints': 16, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.690909 0.633333 0.760000
{'minPoints': 16, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.689655 0.625000 0.769231
{'minPoints': 16, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.562500 0.794118 0.435484
{'minPoints': 16, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.571429 0.800000 0.444444
{'minPoints': 16, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.571429 0.800000 0.444444
{'minPoints': 18, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.586510 0.420168 0.970874
{'minPoints': 18, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.597101 0.430962 0.971698
{'minPoints': 18, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.598240 0.432203 0.971429
{'minPoints': 18, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.690647 0.695652 0.685714
{'minPoints': 18, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.703448 0.698630 0.708333
{'minPoints': 18, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.686131 0.701493 0.671429
{'minPoints': 18, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.505747 0.785714 0.372881
{'minPoints': 18, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.541176 0.920000 0.383333
{'minPoints': 18, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.551724 0.888889 0.400000
{'minPoints': 20, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.632997 0.470000 0.969072
{'minPoints': 20, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.626667 0.463054 0.969072
{'minPoints': 20, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.631922 0.466346 0.979798
{'minPoints': 20, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.618182 0.739130 0.531250
{'minPoints': 20, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.660714 0.804348 0.560606
{'minPoints': 20, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.649123 0.770833 0.560606
{'minPoints': 20, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.455696 0.818182 0.315789
{'minPoints': 20, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.461538 0.857143 0.315789
{'minPoints': 20, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.435897 0.809524 0.298246
{'minPoints': 22, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.706383 0.564626 0.943182
{'minPoints': 22, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.674699 0.528302 0.933333
{'minPoints': 22, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.682927 0.538462 0.933333
{'minPoints': 22, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.574468 0.794118 0.450000
{'minPoints': 22, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.574468 0.794118 0.450000
{'minPoints': 22, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.613861 0.815789 0.492063
{'minPoints': 22, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.415584 0.842105 0.275862
{'minPoints': 22, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.356164 0.812500 0.228070
{'minPoints': 22, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.378378 0.823529 0.245614
{'minPoints': 24, 'filter_size': 36, 'step': 1, 'outliers': 1, 'eps': 12} 0.752688 0.660377 0.875000
{'minPoints': 24, 'filter_size': 36, 'step': 2, 'outliers': 1, 'eps': 12} 0.772487 0.688679 0.879518
{'minPoints': 24, 'filter_size': 36, 'step': 3, 'outliers': 1, 'eps': 12} 0.764398 0.682243 0.869048
{'minPoints': 24, 'filter_size': 36, 'step': 1, 'outliers': 2, 'eps': 12} 0.528736 0.821429 0.389831
{'minPoints': 24, 'filter_size': 36, 'step': 2, 'outliers': 2, 'eps': 12} 0.555556 0.833333 0.416667
{'minPoints': 24, 'filter_size': 36, 'step': 3, 'outliers': 2, 'eps': 12} 0.539326 0.827586 0.400000
{'minPoints': 24, 'filter_size': 36, 'step': 1, 'outliers': 3, 'eps': 12} 0.356164 0.866667 0.224138
{'minPoints': 24, 'filter_size': 36, 'step': 2, 'outliers': 3, 'eps': 12} 0.351351 0.812500 0.224138
{'minPoints': 24, 'filter_size': 36, 'step': 3, 'outliers': 3, 'eps': 12} 0.351351 0.812500 0.224138
{'minPoints': 6, 'filter_size': 48, 'step': 1, 'outliers': 1, 'eps': 12} 0.383234 0.240000 0.950495
{'minPoints': 6, 'filter_size': 48, 'step': 2, 'outliers': 1, 'eps': 12} 0.386588 0.242574 0.951456
{'minPoints': 6, 'filter_size': 48, 'step': 3, 'outliers': 1, 'eps': 12} 0.388462 0.243961 0.952830
{'minPoints': 6, 'filter_size': 48, 'step': 1, 'outliers': 2, 'eps': 12} 0.615917 0.461140 0.927083
{'minPoints': 6, 'filter_size': 48, 'step': 2, 'outliers': 2, 'eps': 12} 0.634146 0.478947 0.938144
{'minPoints': 6, 'filter_size': 48, 'step': 3, 'outliers': 2, 'eps': 12} 0.643357 0.489362 0.938776
{'minPoints': 6, 'filter_size': 48, 'step': 1, 'outliers': 3, 'eps': 12} 0.721311 0.647059 0.814815
{'minPoints': 6, 'filter_size': 48, 'step': 2, 'outliers': 3, 'eps': 12} 0.705882 0.622642 0.814815
